Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
152,Château d'Yquem,Sauternes,2006,750,1,Yes,No,36,OWC - 6 bottle,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
153,Château d'Yquem,Sauternes,2006,750,1,Yes,No,29,OWC - 6 bottle,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
154,Château d'Yquem,Sauternes,2006,750,1,Yes,No,35,OWC - 6 bottle,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
155,Château d'Yquem,Sauternes,2006,750,1,Yes,No,34,,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
156,Château d'Yquem,Sauternes,2006,750,1,Yes,No,31,,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
157,Château d'Yquem,Sauternes,2006,750,1,Yes,No,33,,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
158,Château d'Yquem,Sauternes,2006,750,1,Yes,No,32,,,Wine Advocate - 95+/100,Jancis Robinson - 19/20,Wine Enthusiast - 94-96/100
159,Château d'Yquem,Sauternes,2007,750,1,Yes,No,395,,,Wine Advocate - 98+/100,Jancis Robinson - 19/20,Decanter - 97/100
160,Château d'Yquem,Sauternes,2007,750,1,Yes,No,232,,,Wine Advocate - 98+/100,Jancis Robinson - 19/20,Decanter - 97/100
161,Château d'Yquem,Sauternes,2007,750,1,Yes,No,231,,,Wine Advocate - 98+/100,Jancis Robinson - 19/20,Decanter - 97/100
162,Château d'Yquem,Sauternes,2008,750,1,Yes,No,393,,,Wine Advocate - 95/100,Jancis Robinson - 18.5/20,
163,Château d'Yquem,Sauternes,2008,750,1,Yes,No,391,,,Wine Advocate - 95/100,Jancis Robinson - 18.5/20,
164,Château d'Yquem,Sauternes,2008,750,1,Yes,No,392,,,Wine Advocate - 95/100,Jancis Robinson - 18.5/20,
165,Château d'Yquem,Sauternes,2008,750,1,Yes,No,390,,,Wine Advocate - 95/100,Jancis Robinson - 18.5/20,
166,Château d'Yquem,Sauternes,2008,750,1,Yes,No,394,,,Wine Advocate - 95/100,Jancis Robinson - 18.5/20,
167,Château d'Yquem,Sauternes,2010,375,1,Yes,No,7,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
168,Château d'Yquem,Sauternes,2010,375,1,Yes,No,8,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
169,Château d'Yquem,Sauternes,2010,375,1,Yes,No,9,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
170,Château d'Yquem,Sauternes,2010,375,1,Yes,No,10,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
171,Château d'Yquem,Sauternes,2010,375,1,Yes,No,11,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
172,Château d'Yquem,Sauternes,2010,375,1,Yes,No,12,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
173,Château d'Yquem,Sauternes,2010,375,1,Yes,No,13,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
174,Château d'Yquem,Sauternes,2010,375,1,Yes,No,14,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
175,Château d'Yquem,Sauternes,2010,375,1,Yes,No,15,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
176,Château d'Yquem,Sauternes,2010,375,1,Yes,No,16,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
177,Château d'Yquem,Sauternes,2010,375,1,Yes,No,17,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
178,Château d'Yquem,Sauternes,2010,375,1,Yes,No,18,OWC - 12 bottle,,Wine Advocate - 98/100,Wine Spectator - 97/100,
179,Château d'Yquem,Sauternes,2010,750,1,Yes,No,49,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
180,Château d'Yquem,Sauternes,2010,750,1,Yes,No,50,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
181,Château d'Yquem,Sauternes,2010,750,1,Yes,No,51,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
182,Château d'Yquem,Sauternes,2010,750,1,Yes,No,52,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
183,Château d'Yquem,Sauternes,2010,750,1,Yes,No,53,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
184,Château d'Yquem,Sauternes,2010,750,1,Yes,No,54,,,Wine Advocate - 98/100,Wine Spectator - 97/100,
