"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(MATIC)","Value_OUT(MATIC)","CurrentValue @ $0.6355/MATIC","TxnFee(MATIC)","TxnFee(USD)","Historical $Price/MATIC","Status","ErrCode","Method"
"0x6993bf67285608a899bfa046a755585fd2c7bd1ca8e78991ece6b3844db28c87","43903684","1686748536","2023-06-14 13:15:36","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x21097dea68a288cb0d7f0bb182f973a2640408a59078ce3f119dc854047b4f43","43903687","1686748542","2023-06-14 13:15:42","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x98fdc66dca542312189378e820bf774e7cbdb03e85e9cf30f834c345cb49ecda","43903691","1686748550","2023-06-14 13:15:50","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x98f103834bfd54b53792fd2ecab18cf9b169c096936e8cb3bd78ad83efd44113","43903695","1686748558","2023-06-14 13:15:58","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xd04bc97190dfce8be224f8334f2d27d8c1759bd2d9d9b2cb106188ecac53aefe","43903699","1686748568","2023-06-14 13:16:08","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9ecfa80cca9bbcdc77e99fd99121ffba9d3f116e7a5e605ba05de944f6cd1008","43903703","1686748576","2023-06-14 13:16:16","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x614abd89d1dc42544508e31f1568a4505f930f05822f39de739d679e3cb24ea4","43903706","1686748582","2023-06-14 13:16:22","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xdc8ad0497c41b33fddfd0895856004871ed6c93859a16108f30ddd9771c57bda","43903710","1686748590","2023-06-14 13:16:30","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x3b07191499b2853e6536020c7a857d384e133616f2b77ffacf9490931cac46dd","43903713","1686748602","2023-06-14 13:16:42","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xa1aa03028b25968c629e41cc628c971f2952676fc7f68a6e14931a60034fd471","43903715","1686748610","2023-06-14 13:16:50","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x906d0eb4a6e219b5c4b0611351ec65653847ea029af85647b66c0d5ed27d5842","43903717","1686748618","2023-06-14 13:16:58","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xb48ff6f84d1f51d0edc6404a93ca0fa509e4430311e2e19908bf76a3b0156af1","43903719","1686748626","2023-06-14 13:17:06","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x3d5629adffd9ca2dde906a1dc786645b15053969dba4acb5bdee4846f9d12491","43903721","1686748634","2023-06-14 13:17:14","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x9d1ec445dc505f69a87291066f2458a9cb301ef91364f8f1a088edcce93be795","43903722","1686748638","2023-06-14 13:17:18","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x72a8961c02bc73d90d6828bb55f6adeb2d513c4c7c72d8bc5d42e3d8c646967f","43903724","1686748646","2023-06-14 13:17:26","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc9d1371c1610371173e372bfa19e32d815d7e9418b0f7fe6c00080e74191ee6e","43903726","1686748654","2023-06-14 13:17:34","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x01ec21ee404476a3f58543c6b064a528493b2d3adc35e04e1ea5979eed76e952","43903732","1686748670","2023-06-14 13:17:50","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x3f15d3aa3806f01e38a98fde9ec624291b9fb01413b2485d4bbcd12671e08b58","43903925","1686749080","2023-06-14 13:24:40","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xa90e4086c6518cf6a8a522d3d3caedd3a96d8e6b5f6370348a293a96aa46da73","43903929","1686749088","2023-06-14 13:24:48","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc8c965c48bb082a705d43fc2cc9714b90942d7b9b7e0d5d47487df633c1b0612","43903934","1686749098","2023-06-14 13:24:58","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xc95deccbad10300db5faea776ea17ffe9aead474ad5af77babde3f600b041994","43903937","1686749106","2023-06-14 13:25:06","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x97d14476f0ef00d9f9cc2da62b664e3f1d8753473514e138f397e8e1769eaa29","43903940","1686749112","2023-06-14 13:25:12","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x8cea22b0fb06ce162deac141f8d273cc10f32a2c2dd873b74acf3743f31488a7","43903945","1686749122","2023-06-14 13:25:22","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x4fc41bd11dcce8530f8b70f26d82ded4df32a43f6fc263c0cabd86a5318ff0fe","43903949","1686749130","2023-06-14 13:25:30","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0x1adbf26e5aec31e55820fee5def211eab8c98092206af96b5382bd3b6ece576c","43903952","1686749140","2023-06-14 13:25:40","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
"0xdf40678f7e71221b5d1f7ff2d75aeea70f28c8f492dffd4b5307b98b31749d88","43903954","1686749148","2023-06-14 13:25:48","0xfbb01a6d78cdeef45f381e9975c652c7ef3e7c52","0x038c0998f580798f849ee8841a7e5dd5040f8df8","","0","0","0","0.0332324","0.0211191902","0.62","","","Mint",""
