Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Domaine de la Romanée-Conti Grands Échézeaux 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/16.png,15,750,2002,No,2146,Wine Advocate - 96-98/100,Jancis Robinson - 18/20,Vinous - 95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/15
Domaine de la Romanée-Conti Grands Échézeaux 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/17.png,16,750,2002,No,2147,Wine Advocate - 96-98/100,Jancis Robinson - 18/20,Vinous - 95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/16
Domaine de la Romanée-Conti Grands Échézeaux 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/18.png,17,750,2002,No,2148,Wine Advocate - 96-98/100,Jancis Robinson - 18/20,Vinous - 95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/17
Domaine de la Romanée-Conti Grands Échézeaux 2002,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/19.png,18,750,2002,No,2149,Wine Advocate - 96-98/100,Jancis Robinson - 18/20,Vinous - 95/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/18
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/20.png,19,750,2014,No,2533,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/19
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/21.png,20,750,2014,No,2534,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/20
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/22.png,21,750,2014,No,2535,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/21
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/23.png,22,750,2014,No,2536,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/22
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/24.png,23,750,2014,No,2537,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/23
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/25.png,24,750,2014,No,2538,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/24
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/26.png,25,750,2014,No,2521,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/25
Domaine de la Romanée-Conti Grands Échézeaux 2014,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/27.png,26,750,2014,No,2522,Jancis Robinson - 18.5++/20,Decanter - 95/100,Vinous - 94+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/26
