Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Château d'Yquem Sauternes 1971,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/61.png,60,750,1971,No,432,Wine Advocate - 97/100,Wine Spectator - 93/100,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/60
Château d'Yquem Sauternes 1975,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/62.png,61,750,1975,No,444,Jancis Robinson - 20/20,Wine Advocate - 99/100,Decanter - 96/100,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/61
Château d'Yquem Sauternes 1976,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/63.png,62,750,1976,No,254,Wine Advocate - 96/100,Jancis Robinson - 18.5/20,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/62
Château d'Yquem Sauternes 1976,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/64.png,63,750,1976,No,257,Wine Advocate - 96/100,Jancis Robinson - 18.5/20,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/63
Château d'Yquem Sauternes 1977,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/65.png,64,750,1977,No,463,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/64
Château d'Yquem Sauternes 1977,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/66.png,65,750,1977,No,408,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/65
Château d'Yquem Sauternes 1978,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/67.png,66,750,1978,No,456,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/66
Château d'Yquem Sauternes 1978,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/68.png,67,750,1978,No,426,,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/67
Château d'Yquem Sauternes 1979,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/69.png,68,750,1979,No,467,Wine Spectator - 93/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/68
Château d'Yquem Sauternes 1980,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Yquem/images/70.png,69,750,1980,No,432,Robert Parker - 93/100,,,https://opensea.io/assets/matic/0x6058ee21b093EE36333Aee29996aE9f967bc52Eb/69
