Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
36,Domaine de la Romanée-Conti,La Tâche,2000,750,1,Yes,No,1239,,,Decanter - 98/100,Wine Advocate - 96/100,Vinous - 94/100
37,Domaine de la Romanée-Conti,La Tâche,2004,750,1,Yes,No,1236,,,Jancis Robinson - 18.5/20,Vinous - 94/100,
38,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2527,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
39,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2528,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
40,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2529,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
41,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2530,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
42,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2531,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
43,Domaine de la Romanée-Conti,La Tâche,2007,750,1,Yes,No,2532,OWC - 6 bottle,,Decanter - 96/100,Wine Advocate - 96/100,Vinous - 96/100
44,Domaine de la Romanée-Conti,La Tâche,2011,750,1,Yes,No,1496,,,Decanter - 98/100,Vinous - 96+/100,Jancis Robinson - 18.5+/20
45,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2515,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
46,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2516,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
47,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2517,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
48,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2518,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
49,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2519,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
50,Domaine de la Romanée-Conti,La Tâche,2012,750,1,Yes,No,2520,OWC - 6 bottle,One of the top scoring vintages.,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20
51,Domaine de la Romanée-Conti,La Tâche,2013,750,1,Yes,No,1497,,,Jancis Robinson - 19/20,Wine Advocate - 97/100,Vinous - 97+/100
52,Domaine de la Romanée-Conti,Richebourg,2000,750,1,Yes,No,2154,,,Wine Enthusiast - 95/100,Vinous - 92/100,
53,Domaine de la Romanée-Conti,Richebourg,2000,750,1,Yes,No,2155,,,Wine Enthusiast - 95/100,Vinous - 92/100,
54,Domaine de la Romanée-Conti,Richebourg,2006,750,1,Yes,No,2156,,,Jancis Robinson - 18.5/20,Vinous - 95/100,Decanter -  93/100
